ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60647,11,3/8/2020,3/14/2020,8.0,8.0,9.0,9.1,24,24,27,27.4,0.3,0.3,0,0,0.0,0.0,87509,60647-11,POINT (-87.701101 41.921058)
60637,19,5/3/2020,5/9/2020,54.0,390.0,114.0,821.8,456,2203,961,4642.4,0.1,0.2,0,14,0.0,29.5,47454,60637-19,POINT (-87.604053 41.780991)
60602,19,5/3/2020,5/9/2020,2.0,7.0,161.0,562.7,15,57,1206,4582.0,0.1,0.1,0,0,0.0,0.0,1244,60602-19,POINT (-87.628309 41.883136)
60652,21,5/17/2020,5/23/2020,83.0,625.0,189.0,1423.5,499,2687,1136,6119.8,0.2,0.2,1,22,2.3,50.1,43907,60652-21,POINT (-87.714238 41.745398)
60623,13,3/22/2020,3/28/2020,64.0,75.0,74.0,87.2,144,224,168,260.5,0.4,0.3,4,4,4.7,4.7,85979,60623-13,POINT (-87.717446 41.850321)
60632,17,4/19/2020,4/25/2020,358.0,772.0,393.0,848.0,692,1691,760,1857.4,0.5,0.5,7,16,7.7,17.6,91039,60632-17,POINT (-87.711251 41.810038)
60639,23,5/31/2020,6/6/2020,81.0,2669.0,90.0,2948.6,743,9233,821,10200.3,0.1,0.3,4,86,4.4,95.0,90517,60639-23,POINT (-87.75531 41.920609)
60608,16,4/12/2020,4/18/2020,110.0,387.0,139.0,488.6,347,1142,438,1441.8,0.3,0.3,6,10,7.6,12.6,79205,60608-16,POINT (-87.670366 41.849879)
60604,19,5/3/2020,5/9/2020,3.0,11.0,384.0,1406.6,12,47,1534,6010.2,0.2,0.2,0,0,0.0,0.0,782,60604-19,POINT (-87.62902900000002 41.878153)
60621,17,4/19/2020,4/25/2020,48.0,256.0,165.0,881.5,217,754,747,2596.2,0.2,0.3,5,15,17.2,51.6,29042,60621-17,POINT (-87.638812 41.776931)
60614,23,5/31/2020,6/6/2020,4.0,458.0,6.0,642.3,419,3689,588,5173.3,0.0,0.1,0,60,0.0,84.1,71308,60614-23,POINT (-87.652064 41.922605)
60606,19,5/3/2020,5/9/2020,1.0,20.0,32.0,645.0,41,208,1322,6707.5,0.0,0.1,0,0,0.0,0.0,3101,60606-19,POINT (-87.63676 41.882634)
60615,14,3/29/2020,4/4/2020,41.0,95.0,99.0,228.6,156,412,375,991.3,0.3,0.2,3,4,7.2,9.6,41563,60615-14,POINT (-87.602725 41.80199300000001)
60653,18,4/26/2020,5/2/2020,36.0,275.0,113.0,860.1,227,1162,710,3634.4,0.2,0.2,3,21,9.4,65.7,31972,60653-18,POINT (-87.611244 41.819261)
60707,20,5/10/2020,5/16/2020,32.0,127.0,74.0,295.2,195,1008,453,2343.2,0.2,0.1,0,7,0.0,16.3,43019,60707-20,POINT (-87.808283 41.921777)
60616,20,5/10/2020,5/16/2020,51.0,329.0,94.0,604.1,556,2010,1021,3690.5,0.1,0.2,3,30,5.5,55.1,54464,60616-20,POINT (-87.629531 41.844869)
60641,19,5/3/2020,5/9/2020,154.0,733.0,217.0,1032.1,728,2857,1025,4022.6,0.2,0.3,8,30,11.3,42.2,71023,60641-19,POINT (-87.746791 41.946682)
60622,18,4/26/2020,5/2/2020,79.0,341.0,150.0,645.9,327,1330,619,2519.3,0.2,0.3,12,33,22.7,62.5,52793,60622-18,POINT (-87.681818 41.902762)
60654,15,4/5/2020,4/11/2020,38.0,78.0,199.0,407.6,79,225,413,1175.9,0.5,0.3,0,0,0.0,0.0,19135,60654-15,POINT (-87.63635400000001 41.892485)
60612,23,5/31/2020,6/6/2020,21.0,651.0,61.0,1897.4,233,3211,679,9358.5,0.1,0.2,0,25,0.0,72.9,34311,60612-23,POINT (-87.687011 41.88004)
60632,22,5/24/2020,5/30/2020,153.0,2471.0,168.0,2714.2,852,6908,936,7588.0,0.2,0.4,7,64,7.7,70.3,91039,60632-22,POINT (-87.711251 41.810038)
60619,17,4/19/2020,4/25/2020,113.0,512.0,184.0,835.8,520,1712,849,2794.7,0.2,0.3,6,33,9.8,53.9,61258,60619-17,POINT (-87.60569 41.744737)
60634,23,5/31/2020,6/6/2020,46.0,1143.0,60.0,1504.0,524,6866,690,9034.8,0.1,0.2,1,37,1.3,48.7,75995,60634-23,POINT (-87.797373 41.944967000000005)
60651,23,5/31/2020,6/6/2020,44.0,1477.0,70.0,2336.4,400,5566,633,8804.5,0.1,0.3,3,66,4.7,104.4,63218,60651-23,POINT (-87.741017 41.901964)
60624,24,6/7/2020,6/13/2020,11.0,783.0,30.0,2165.5,297,3476,821,9613.4,0.0,0.2,0,26,0.0,71.9,36158,60624-24,POINT (-87.722735 41.879417)
60636,24,6/7/2020,6/13/2020,13.0,639.0,40.0,1984.3,249,2862,773,8887.4,0.1,0.2,2,47,6.2,145.9,32203,60636-24,POINT (-87.668597 41.77599)
60644,12,3/15/2020,3/21/2020,17.0,22.0,36.0,46.1,78,96,164,201.2,0.2,0.2,0,0,0.0,0.0,47712,60644-12,POINT (-87.756863 41.881113)
60634,12,3/15/2020,3/21/2020,15.0,16.0,20.0,21.1,68,75,90,98.7,0.2,0.2,0,0,0.0,0.0,75995,60634-12,POINT (-87.797373 41.944967000000005)
60652,15,4/5/2020,4/11/2020,44.0,147.0,100.0,334.8,126,410,287,933.8,0.3,0.4,3,6,6.8,13.7,43907,60652-15,POINT (-87.714238 41.745398)
60653,20,5/10/2020,5/16/2020,44.0,356.0,138.0,1113.5,412,1880,1289,5880.1,0.1,0.2,2,26,6.3,81.3,31972,60653-20,POINT (-87.611244 41.819261)
60638,20,5/10/2020,5/16/2020,109.0,727.0,185.0,1236.5,544,3031,925,5155.0,0.2,0.2,5,24,8.5,40.8,58797,60638-20,POINT (-87.771902 41.787032)
60643,16,4/12/2020,4/18/2020,47.0,301.0,94.0,603.6,262,956,525,1917.0,0.2,0.3,10,20,20.1,40.1,49870,60643-16,POINT (-87.662381 41.700445)
60646,24,6/7/2020,6/13/2020,8.0,339.0,29.0,1211.3,225,2265,804,8093.0,0.0,0.2,2,41,7.1,146.5,27987,60646-24,POINT (-87.761826 41.993931)
60660,18,4/26/2020,5/2/2020,40.0,244.0,92.0,564.3,245,1001,567,2314.9,0.2,0.2,3,20,6.9,46.3,43242,60660-18,POINT (-87.666362 41.991062)
60661,20,5/10/2020,5/16/2020,2.0,28.0,20.0,282.1,68,278,685,2800.7,0.0,0.1,0,0,0.0,0.0,9926,60661-20,POINT (-87.644283 41.882786)
60618,20,5/10/2020,5/16/2020,113.0,807.0,120.0,854.9,761,3669,806,3886.9,0.1,0.2,6,31,6.4,32.8,94395,60618-20,POINT (-87.703343 41.946699)
60625,22,5/24/2020,5/30/2020,94.0,1127.0,119.0,1422.2,689,4862,870,6135.6,0.1,0.2,3,83,3.8,104.7,79243,60625-22,POINT (-87.701816 41.971155)
60649,24,6/7/2020,6/13/2020,7.0,737.0,15.0,1601.3,402,4304,874,9351.6,0.0,0.2,3,115,6.5,249.9,46024,60649-24,POINT (-87.571522 41.762202)
60640,20,5/10/2020,5/16/2020,55.0,629.0,79.0,902.2,462,2749,663,3943.2,0.1,0.2,10,69,14.3,99.0,69715,60640-20,POINT (-87.662232 41.971888)
60626,19,5/3/2020,5/9/2020,96.0,666.0,193.0,1339.2,530,2216,1066,4456.1,0.2,0.3,19,57,38.2,114.6,49730,60626-19,POINT (-87.669834 42.009469)
60626,24,6/7/2020,6/13/2020,23.0,963.0,46.0,1936.5,722,4874,1452,9800.9,0.0,0.2,6,106,12.1,213.2,49730,60626-24,POINT (-87.669834 42.009469)
60655,18,4/26/2020,5/2/2020,17.0,156.0,59.0,541.6,240,1202,833,4173.0,0.1,0.1,1,7,3.5,24.3,28804,60655-18,POINT (-87.701434 41.696456)
60610,16,4/12/2020,4/18/2020,12.0,107.0,31.0,274.2,111,497,284,1273.7,0.1,0.2,0,1,0.0,2.6,39019,60610-16,POINT (-87.63581 41.90455)
60609,14,3/29/2020,4/4/2020,48.0,109.0,78.0,177.3,143,341,232,554.5,0.3,0.3,3,3,4.9,4.9,61495,60609-14,POINT (-87.653382 41.812017)
60616,18,4/26/2020,5/2/2020,29.0,247.0,53.0,453.5,235,1146,432,2104.1,0.1,0.2,2,25,3.7,45.9,54464,60616-18,POINT (-87.629531 41.844869)
60602,23,5/31/2020,6/6/2020,0.0,10.0,0.0,803.9,14,120,1125,9646.3,0.0,0.1,0,0,0.0,0.0,1244,60602-23,POINT (-87.628309 41.883136)
60657,18,4/26/2020,5/2/2020,30.0,211.0,43.0,301.2,256,1302,365,1858.6,0.1,0.2,4,14,5.7,20.0,70052,60657-18,POINT (-87.658216 41.939715)
60649,19,5/3/2020,5/9/2020,65.0,590.0,141.0,1281.9,451,2168,980,4710.6,0.1,0.3,11,82,23.9,178.2,46024,60649-19,POINT (-87.571522 41.762202)
60617,17,4/19/2020,4/25/2020,83.0,402.0,101.0,487.1,439,1617,532,1959.2,0.2,0.2,5,25,6.1,30.3,82534,60617-17,POINT (-87.556897 41.721257)
60637,23,5/31/2020,6/6/2020,15.0,565.0,32.0,1190.6,306,3965,645,8355.5,0.0,0.1,2,22,4.2,46.4,47454,60637-23,POINT (-87.604053 41.780991)
60611,14,3/29/2020,4/4/2020,14.0,50.0,43.0,154.2,72,287,222,885.1,0.2,0.2,0,0,0.0,0.0,32426,60611-14,POINT (-87.620291 41.894734)
60618,18,4/26/2020,5/2/2020,111.0,549.0,118.0,581.6,594,2283,629,2418.6,0.2,0.2,6,18,6.4,19.1,94395,60618-18,POINT (-87.703343 41.946699)
60628,22,5/24/2020,5/30/2020,38.0,911.0,57.0,1365.3,665,4779,997,7162.3,0.1,0.2,11,90,16.5,134.9,66724,60628-22,POINT (-87.621537 41.694192)
60609,15,4/5/2020,4/11/2020,72.0,181.0,117.0,294.3,190,531,309,863.5,0.4,0.3,2,5,3.3,8.1,61495,60609-15,POINT (-87.653382 41.812017)
60623,17,4/19/2020,4/25/2020,371.0,860.0,432.0,1000.2,808,1930,940,2244.7,0.5,0.4,13,36,15.1,41.9,85979,60623-17,POINT (-87.717446 41.850321)
60647,23,5/31/2020,6/6/2020,41.0,1114.0,47.0,1273.0,656,5587,750,6384.5,0.1,0.2,5,78,5.7,89.1,87509,60647-23,POINT (-87.701101 41.921058)
60639,19,5/3/2020,5/9/2020,432.0,1751.0,477.0,1934.4,1342,4790,1483,5291.8,0.3,0.4,17,60,18.8,66.3,90517,60639-19,POINT (-87.75531 41.920609)
60638,18,4/26/2020,5/2/2020,142.0,488.0,242.0,830.0,530,1930,901,3282.5,0.3,0.3,9,16,15.3,27.2,58797,60638-18,POINT (-87.771902 41.787032)
60655,13,3/22/2020,3/28/2020,29.0,33.0,101.0,114.6,138,173,479,600.6,0.2,0.2,0,0,0.0,0.0,28804,60655-13,POINT (-87.701434 41.696456)
60637,12,3/15/2020,3/21/2020,21.0,21.0,44.0,44.3,145,151,306,318.2,0.1,0.1,0,0,0.0,0.0,47454,60637-12,POINT (-87.604053 41.780991)
60661,18,4/26/2020,5/2/2020,3.0,22.0,30.0,221.6,31,163,312,1642.2,0.1,0.1,0,0,0.0,0.0,9926,60661-18,POINT (-87.644283 41.882786)
60626,17,4/19/2020,4/25/2020,185.0,461.0,372.0,927.0,447,1291,899,2596.0,0.4,0.4,9,26,18.1,52.3,49730,60626-17,POINT (-87.669834 42.009469)
60645,16,4/12/2020,4/18/2020,136.0,469.0,285.0,982.6,343,1171,719,2453.3,0.4,0.4,8,16,16.8,33.5,47732,60645-16,POINT (-87.695049 42.008927)
60611,25,6/14/2020,6/20/2020,5.0,133.0,15.0,410.2,309,2663,953,8212.5,0.0,0.0,1,3,3.1,9.3,32426,60611-25,POINT (-87.620291 41.894734)
60625,12,3/15/2020,3/21/2020,22.0,23.0,28.0,29.0,85,98,107,123.7,0.3,0.2,1,1,1.3,1.3,79243,60625-12,POINT (-87.701816 41.971155)
60647,22,5/24/2020,5/30/2020,75.0,1073.0,86.0,1226.2,636,4931,727,5634.8,0.1,0.2,6,73,6.9,83.4,87509,60647-22,POINT (-87.701101 41.921058)
60601,16,4/12/2020,4/18/2020,3.0,33.0,20.0,224.9,41,178,279,1212.9,0.1,0.2,1,2,6.8,13.6,14675,60601-16,POINT (-87.622844 41.886262)
60602,22,5/24/2020,5/30/2020,1.0,10.0,80.0,803.9,21,106,1688,8520.9,0.0,0.1,0,0,0.0,0.0,1244,60602-22,POINT (-87.628309 41.883136)
60656,21,5/17/2020,5/23/2020,22.0,191.0,80.0,692.6,196,1502,711,5446.2,0.1,0.1,0,5,0.0,18.1,27579,60656-21,POINT (-87.817934 41.974566)
60652,14,3/29/2020,4/4/2020,54.0,103.0,123.0,234.6,143,284,326,646.8,0.4,0.4,2,3,4.6,6.8,43907,60652-14,POINT (-87.714238 41.745398)
60617,24,6/7/2020,6/13/2020,30.0,907.0,36.0,1098.9,622,6623,754,8024.6,0.0,0.1,1,62,1.2,75.1,82534,60617-24,POINT (-87.556897 41.721257)
60649,17,4/19/2020,4/25/2020,176.0,458.0,382.0,995.1,470,1369,1021,2974.5,0.4,0.3,10,47,21.7,102.1,46024,60649-17,POINT (-87.571522 41.762202)
60659,21,5/17/2020,5/23/2020,51.0,574.0,124.0,1397.7,278,2093,677,5096.4,0.2,0.3,2,36,4.9,87.7,41068,60659-21,POINT (-87.703266 41.99080300000001)
60655,20,5/10/2020,5/16/2020,10.0,180.0,35.0,624.9,192,1597,667,5544.4,0.1,0.1,0,7,0.0,24.3,28804,60655-20,POINT (-87.701434 41.696456)
60646,17,4/19/2020,4/25/2020,104.0,171.0,372.0,611.0,326,866,1165,3094.3,0.3,0.2,2,5,7.1,17.9,27987,60646-17,POINT (-87.761826 41.993931)
60638,13,3/22/2020,3/28/2020,33.0,41.0,56.0,69.7,160,203,272,345.3,0.2,0.2,0,0,0.0,0.0,58797,60638-13,POINT (-87.771902 41.787032)
60618,13,3/22/2020,3/28/2020,37.0,59.0,39.0,62.5,179,296,190,313.6,0.2,0.2,0,0,0.0,0.0,94395,60618-13,POINT (-87.703343 41.946699)
60827,24,6/7/2020,6/13/2020,1.0,48.0,4.0,168.0,26,322,91,1126.8,0.0,0.1,0,4,0.0,14.0,28577,60827-24,POINT (-87.633087 41.650765)
60603,21,5/17/2020,5/23/2020,1.0,7.0,85.0,596.3,14,53,1192,4514.5,0.1,0.1,0,0,0.0,0.0,1174,60603-21,POINT (-87.625473 41.880112000000004)
60607,16,4/12/2020,4/18/2020,32.0,268.0,108.0,905.7,118,658,399,2223.6,0.3,0.4,0,1,0.0,3.4,29591,60607-16,POINT (-87.652727 41.876104)
60617,19,5/3/2020,5/9/2020,91.0,601.0,110.0,728.2,687,3108,832,3765.7,0.1,0.2,8,36,9.7,43.6,82534,60617-19,POINT (-87.556897 41.721257)
60612,22,5/24/2020,5/30/2020,24.0,630.0,70.0,1836.1,311,2978,906,8679.4,0.1,0.2,3,25,8.7,72.9,34311,60612-22,POINT (-87.687011 41.88004)
60616,13,3/22/2020,3/28/2020,32.0,46.0,59.0,84.5,137,219,252,402.1,0.2,0.2,0,0,0.0,0.0,54464,60616-13,POINT (-87.629531 41.844869)
60601,21,5/17/2020,5/23/2020,2.0,61.0,14.0,415.7,80,531,545,3618.4,0.0,0.1,0,5,0.0,34.1,14675,60601-21,POINT (-87.622844 41.886262)
60625,23,5/31/2020,6/6/2020,46.0,1173.0,58.0,1480.3,562,5424,709,6844.8,0.1,0.2,6,89,7.6,112.3,79243,60625-23,POINT (-87.701816 41.971155)
60604,17,4/19/2020,4/25/2020,1.0,5.0,128.0,639.4,9,23,1151,2941.2,0.1,0.2,0,0,0.0,0.0,782,60604-17,POINT (-87.62902900000002 41.878153)
60624,17,4/19/2020,4/25/2020,69.0,384.0,191.0,1062.0,276,1104,763,3053.3,0.2,0.3,6,17,16.6,47.0,36158,60624-17,POINT (-87.722735 41.879417)
